STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
BTC,D,41,M FLOW,19980903 0000,19980903 0000,12024, ,CFS
BTC,D,41,M FLOW,19980904 0000,19980904 0000,12192, ,CFS
BTC,D,41,M FLOW,19980905 0000,19980905 0000,12135, ,CFS
BTC,D,41,M FLOW,19980906 0000,19980906 0000,12000, ,CFS
BTC,D,41,M FLOW,19980907 0000,19980907 0000,12175, ,CFS
BTC,D,41,M FLOW,19980908 0000,19980908 0000,11911, ,CFS
BTC,D,41,M FLOW,19980909 0000,19980909 0000,11845, ,CFS
BTC,D,41,M FLOW,19980910 0000,19980910 0000,11649, ,CFS
BTC,D,41,M FLOW,19980911 0000,19980911 0000,18359, ,CFS
BTC,D,41,M FLOW,19980912 0000,19980912 0000,25452, ,CFS
BTC,D,41,M FLOW,19980913 0000,19980913 0000,25390, ,CFS
BTC,D,41,M FLOW,19980914 0000,19980914 0000,16297, ,CFS
BTC,D,41,M FLOW,19980915 0000,19980915 0000,10855, ,CFS
BTC,D,41,M FLOW,19980916 0000,19980916 0000,11307, ,CFS
BTC,D,41,M FLOW,19980917 0000,19980917 0000,10667, ,CFS
BTC,D,41,M FLOW,19980918 0000,19980918 0000,10407, ,CFS
BTC,D,41,M FLOW,19980919 0000,19980919 0000,10146, ,CFS
BTC,D,41,M FLOW,19980920 0000,19980920 0000,9781, ,CFS
BTC,D,41,M FLOW,19980921 0000,19980921 0000,9764, ,CFS
BTC,D,41,M FLOW,19980922 0000,19980922 0000,9777, ,CFS
BTC,D,41,M FLOW,19980923 0000,19980923 0000,9856, ,CFS
BTC,D,41,M FLOW,19980924 0000,19980924 0000,9671, ,CFS
BTC,D,41,M FLOW,19980925 0000,19980925 0000,9216, ,CFS
BTC,D,41,M FLOW,19980926 0000,19980926 0000,9349, ,CFS
BTC,D,41,M FLOW,19980927 0000,19980927 0000,9216, ,CFS
BTC,D,41,M FLOW,19980928 0000,19980928 0000,9190, ,CFS
BTC,D,41,M FLOW,19980929 0000,19980929 0000,8970, ,CFS
BTC,D,41,M FLOW,19980930 0000,19980930 0000,8929, ,CFS
BTC,D,41,M FLOW,19981001 0000,19981001 0000,8852, ,CFS
BTC,D,41,M FLOW,19981002 0000,19981002 0000,8696, ,CFS
BTC,D,41,M FLOW,19981003 0000,19981003 0000,8469, ,CFS
BTC,D,41,M FLOW,19981004 0000,19981004 0000,8474, ,CFS
BTC,D,41,M FLOW,19981005 0000,19981005 0000,8341, ,CFS
BTC,D,41,M FLOW,19981006 0000,19981006 0000,8303, ,CFS
BTC,D,41,M FLOW,19981007 0000,19981007 0000,8369, ,CFS
BTC,D,41,M FLOW,19981008 0000,19981008 0000,8277, ,CFS
BTC,D,41,M FLOW,19981009 0000,19981009 0000,8153, ,CFS
BTC,D,41,M FLOW,19981010 0000,19981010 0000,7906, ,CFS
BTC,D,41,M FLOW,19981011 0000,19981011 0000,7865, ,CFS
BTC,D,41,M FLOW,19981012 0000,19981012 0000,7616, ,CFS
BTC,D,41,M FLOW,19981013 0000,19981013 0000,7388, ,CFS
BTC,D,41,M FLOW,19981014 0000,19981014 0000,7041, ,CFS
BTC,D,41,M FLOW,19981015 0000,19981015 0000,6916, ,CFS
BTC,D,41,M FLOW,19981016 0000,19981016 0000,6715, ,CFS
BTC,D,41,M FLOW,19981017 0000,19981017 0000,6554, ,CFS
BTC,D,41,M FLOW,19981018 0000,19981018 0000,6540, ,CFS
BTC,D,41,M FLOW,19981019 0000,19981019 0000,6531, ,CFS
BTC,D,41,M FLOW,19981020 0000,19981020 0000,6341, ,CFS
BTC,D,41,M FLOW,19981021 0000,19981021 0000,6243, ,CFS
BTC,D,41,M FLOW,19981022 0000,19981022 0000,6195, ,CFS
BTC,D,41,M FLOW,19981023 0000,19981023 0000,6072, ,CFS
BTC,D,41,M FLOW,19981024 0000,19981024 0000,6490, ,CFS
BTC,D,41,M FLOW,19981025 0000,19981025 0000,7562, ,CFS
BTC,D,41,M FLOW,19981026 0000,19981026 0000,7046, ,CFS
BTC,D,41,M FLOW,19981027 0000,19981027 0000,6852, ,CFS
BTC,D,41,M FLOW,19981028 0000,19981028 0000,7158, ,CFS
BTC,D,41,M FLOW,19981029 0000,19981029 0000,7208, ,CFS
BTC,D,41,M FLOW,19981030 0000,19981030 0000,7172, ,CFS
BTC,D,41,M FLOW,19981031 0000,19981031 0000,7064, ,CFS
BTC,D,41,M FLOW,19981101 0000,19981101 0000,7201, ,CFS
BTC,D,41,M FLOW,19981102 0000,19981102 0000,7009, ,CFS
BTC,D,41,M FLOW,19981103 0000,19981103 0000,7043, ,CFS
BTC,D,41,M FLOW,19981104 0000,19981104 0000,6911, ,CFS
BTC,D,41,M FLOW,19981105 0000,19981105 0000,6850, ,CFS
BTC,D,41,M FLOW,19981106 0000,19981106 0000,6828, ,CFS
BTC,D,41,M FLOW,19981107 0000,19981107 0000,7494, ,CFS
BTC,D,41,M FLOW,19981108 0000,19981108 0000,8619, ,CFS
BTC,D,41,M FLOW,19981109 0000,19981109 0000,8850, ,CFS
BTC,D,41,M FLOW,19981110 0000,19981110 0000,8544, ,CFS
BTC,D,41,M FLOW,19981111 0000,19981111 0000,8605, ,CFS
BTC,D,41,M FLOW,19981112 0000,19981112 0000,9055, ,CFS
BTC,D,41,M FLOW,19981113 0000,19981113 0000,8853, ,CFS
BTC,D,41,M FLOW,19981114 0000,19981114 0000,9613, ,CFS
BTC,D,41,M FLOW,19981115 0000,19981115 0000,10026, ,CFS
BTC,D,41,M FLOW,19981116 0000,19981116 0000,10656, ,CFS
BTC,D,41,M FLOW,19981117 0000,19981117 0000,10807, ,CFS
BTC,D,41,M FLOW,19981118 0000,19981118 0000,14410, ,CFS
BTC,D,41,M FLOW,19981119 0000,19981119 0000,15468, ,CFS
BTC,D,41,M FLOW,19981120 0000,19981120 0000,15230, ,CFS
BTC,D,41,M FLOW,19981121 0000,19981121 0000,14956, ,CFS
BTC,D,41,M FLOW,19981122 0000,19981122 0000,17363, ,CFS
BTC,D,41,M FLOW,19981123 0000,19981123 0000,18711, ,CFS
BTC,D,41,M FLOW,19981124 0000,19981124 0000,29060, ,CFS
BTC,D,41,M FLOW,19981125 0000,19981125 0000,23579, ,CFS
BTC,D,41,M FLOW,19981126 0000,19981126 0000,19090, ,CFS
BTC,D,41,M FLOW,19981127 0000,19981127 0000,22738, ,CFS
BTC,D,41,M FLOW,19981128 0000,19981128 0000,24264, ,CFS
BTC,D,41,M FLOW,19981129 0000,19981129 0000,19891, ,CFS
BTC,D,41,M FLOW,19981130 0000,19981130 0000,28079, ,CFS
BTC,D,41,M FLOW,19981201 0000,19981201 0000,47730, ,CFS
BTC,D,41,M FLOW,19981202 0000,19981202 0000,33296, ,CFS
BTC,D,41,M FLOW,19981203 0000,19981203 0000,28339, ,CFS
BTC,D,41,M FLOW,19981204 0000,19981204 0000,38628, ,CFS
BTC,D,41,M FLOW,19981205 0000,19981205 0000,29181, ,CFS
BTC,D,41,M FLOW,19981206 0000,19981206 0000,31124, ,CFS
BTC,D,41,M FLOW,19981207 0000,19981207 0000,31166, ,CFS
BTC,D,41,M FLOW,19981208 0000,19981208 0000,30135, ,CFS
BTC,D,41,M FLOW,19981209 0000,19981209 0000,29656, ,CFS
BTC,D,41,M FLOW,19981210 0000,19981210 0000,26812, ,CFS
BTC,D,41,M FLOW,19981211 0000,19981211 0000,25372, ,CFS
BTC,D,41,M FLOW,19981212 0000,19981212 0000,24965, ,CFS
BTC,D,41,M FLOW,19981213 0000,19981213 0000,24522, ,CFS
BTC,D,41,M FLOW,19981214 0000,19981214 0000,25578, ,CFS
BTC,D,41,M FLOW,19981215 0000,19981215 0000,23624, ,CFS
BTC,D,41,M FLOW,19981216 0000,19981216 0000,19731, ,CFS
BTC,D,41,M FLOW,19981217 0000,19981217 0000,18211, ,CFS
BTC,D,41,M FLOW,19981218 0000,19981218 0000,17804, ,CFS
BTC,D,41,M FLOW,19981219 0000,19981219 0000,17196, ,CFS
BTC,D,41,M FLOW,19981220 0000,19981220 0000,15938, ,CFS
BTC,D,41,M FLOW,19981221 0000,19981221 0000,14301, ,CFS
BTC,D,41,M FLOW,19981222 0000,19981222 0000,12854, ,CFS
BTC,D,41,M FLOW,19981223 0000,19981223 0000,11431, ,CFS
BTC,D,41,M FLOW,19981224 0000,19981224 0000,10168, ,CFS
BTC,D,41,M FLOW,19981225 0000,19981225 0000,9661, ,CFS
BTC,D,41,M FLOW,19981226 0000,19981226 0000,9538, ,CFS
BTC,D,41,M FLOW,19981227 0000,19981227 0000,9407, ,CFS
BTC,D,41,M FLOW,19981228 0000,19981228 0000,9323, ,CFS
BTC,D,41,M FLOW,19981229 0000,19981229 0000,9267, ,CFS
BTC,D,41,M FLOW,19981230 0000,19981230 0000,8780, ,CFS
BTC,D,41,M FLOW,19981231 0000,19981231 0000,8266, ,CFS
BTC,D,41,M FLOW,19990101 0000,19990101 0000,8075, ,CFS
BTC,D,41,M FLOW,19990102 0000,19990102 0000,7904, ,CFS
BTC,D,41,M FLOW,19990103 0000,19990103 0000,7768, ,CFS
BTC,D,41,M FLOW,19990104 0000,19990104 0000,7655, ,CFS
BTC,D,41,M FLOW,19990105 0000,19990105 0000,7586, ,CFS
BTC,D,41,M FLOW,19990106 0000,19990106 0000,7540, ,CFS
BTC,D,41,M FLOW,19990107 0000,19990107 0000,7510, ,CFS
BTC,D,41,M FLOW,19990108 0000,19990108 0000,7450, ,CFS
BTC,D,41,M FLOW,19990109 0000,19990109 0000,7305, ,CFS
BTC,D,41,M FLOW,19990110 0000,19990110 0000,7237, ,CFS
BTC,D,41,M FLOW,19990111 0000,19990111 0000,7260, ,CFS
BTC,D,41,M FLOW,19990112 0000,19990112 0000,7274, ,CFS
BTC,D,41,M FLOW,19990113 0000,19990113 0000,7258, ,CFS
BTC,D,41,M FLOW,19990114 0000,19990114 0000,7225, ,CFS
BTC,D,41,M FLOW,19990115 0000,19990115 0000,7247, ,CFS
